			    Stanford Mean Solar Magnetic Field (microTesla)

       2001                                                                               

	Jan.	Feb.	March	April	May	June	July	Aug.	Sept.	Oct.	Nov.	Dec.
day												
1	-18	-9	45	2	-49	-39	-10	0	-23	12	-10	.
2	-45	-16	.	-7	-36	-10	-37	-2	-20	19	-28	.
3	-51	9	.	-29	-38	18	-39	-25	-7	25	-54	.
4	-18	0	.	-49	-29	21	-5	-10	13	23	-46	4
5	42	-13	.	-29	-13	-12	7	0	32	32	-20	.

6	54	-2	.	.	-2	-28	3	7	30	-3	-19	.
7	.	.	-29	-33	20	-16	8	30	66	-29	21	-10
8	.	-78	-16	-16	18	28	-3	43	88	-40	58	65
9	.	.	-36	-16	22	25	0	86	55	-36	94	80
10	.	.	-33	0	4	-18	2	81	11	-11	12	105

11	.	.	-16	.	-2	-41	22	93	26	23	32	110
12	.	.	-7	-13	-20	-28	57	124	14	-4	.	60
13	.	.	-16	-18	2	9	70	50	22	-12	.	31
14	16	-42	-22	-16	7	39	82	-5	30	-29	9	49
15	-4	-33	-159	-20	-15	76	59	-20	23	-18	53	12

16	-16	-40	-16	-11	-5	79	.	-38	1	-18	.	.
17	-31	.	-13	0	23	39	28	-41	-17	7	37	.
18	-18	.	-22	33	77	14	-2	-20	-17	-3	47	-30
19	-38	.	-2	.	94	-1	-13	-12	-32	-3	.	-20
20	.	.	22	.	104	23	-23	-17	-34	-8	.	.

21	.	.	63	33	61	.	-26	-17	19	19	.	.
22	4	.	67	69	38	.	-23	-29	28	36	16	.
23	.	51	47	65	32	.	-12	-30	28	47	-46	-42
24	.	.	.	58	34	15	-26	-13	15	41	.	-21
25	.	.	.	42	-14	-15	-25	-6	75	1	.	.

26	83	4	51	33	-41	3	-41	14	62	-21	-4	-107
27	45	20	33	36	-60	-104	-41	20	30	-79	7	.
28	16	27	40	7	-56	.	-17	22	-10	.	.	.
29	11	. 	22	-31	-43	0	-40	.	-10	.	-15	.
30	-45	. 	27	-54	-52	-55	-12	33	-7	-32	-37	.
31	-25	. 	20	. 	-55	. 	-12	3	. 	9	. 	-68
