			    Stanford Mean Solar Magnetic Field (microTesla)

       2002                                                                               

	Jan.	Feb.	March	April	May	June	July	Aug.	Sept.	Oct.	Nov.	Dec.
day												
1	.	69	48	55	9	18	-29	16	40	54	65	-13
2	.	65	65	29	-11	11	-36	25	20	65	34	-49
3	57	86	85	16	0	-29	-18	30	21	67	-5	-64
4	69	139	104	.	23	-41	5	23	60	66	-41	-38
5	.	121	73	.	38	-57	23	7	78	80	-70	-28

6	.	97	.	7	36	-52	29	3	59	65	.	.
7	.	.	.	14	-4	-20	29	9	64	6	-54	-88
8	174	17	17	4	-43	-2	23	42	78	-22	.	-71
9	122	2	-6	.	-55	9	18	90	76	-56	-78	.
10	78	-4	-9	-18	-55	21	18	99	42	-69	.	-75

11	31	-16	-2	-57	-48	25	14	74	8	.	-93	-97
12	15	-31	.	-52	-18	29	36	68	-9	.	-91	-26
13	-5	.	14	-45	16	30	50	44	-10	.	.	.
14	-20	-4	-2	-59	45	34	73	26	-30	-81	-49	.
15	-4	-25	-48	-43	54	39	89	25	-54	-105	-1	.

16	-9	-36	-63	-5	54	45	81	30	-51	-82	76	.
17	-16	.	.	27	39	63	50	46	-46	-53	95	39
18	-14	.	-70	14	39	75	34	23	-47	-33	95	31
19	-49	.	-39	23	.	79	14	-12	-36	19	82	.
20	-54	-62	-16	23	.	61	-5	-17	-31	45	51	54

21	.	-19	20	16	63	34	-16	-21	13	67	.	34
22	-38	-1	.	4	91	32	-18	-21	42	29	.	57
23	-27	-4	.	9	89	25	-21	-33	45	.	.	64
24	-77	-15	-4	41	57	-5	-23	-33	31	.	32	.
25	.	-25	-16	50	18	-11	-20	15	36	4	55	.

26	.	-21	-4	.	7	-9	.	38	38	-16	80	.
27	-10	-2	20	.	-5	-16	.	48	.	-2	94	.
28	-7	21	38	55	-25	-5	.	37	29	21	90	.
29	-11	. 	64	.	-36	-5	.	40	7	48	.	-49
30	39	. 	73	.	-36	-23	.	44	31	62	-3	.
31	49	. 	84	. 	-23	. 	.	43	. 	60	. 	-61
